分类: 卫视频道, 名称: 四川卫视, 有效: 14, IPv4: 71, IPv6: 15, 最小延迟: 69 ms, 最高速率: 26.83 MiB/s, 平均速率: 16.26 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 28.12, 视频编解码器: h264, 音频编解码器: aac
分类: 卫视频道, 名称: 深圳卫视, 有效: 16, IPv4: 76, IPv6: 27, 最小延迟: 19 ms, 最高速率: 25.95 MiB/s, 平均速率: 14.14 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 27.81, 视频编解码器: h264, 音频编解码器: aac
分类: 卫视频道, 名称: 江西卫视, 有效: 11, IPv4: 79, IPv6: 21, 最小延迟: 71 ms, 最高速率: 26.75 MiB/s, 平均速率: 12.61 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 28.33, 视频编解码器: h264, 音频编解码器: aac
分类: 卫视频道, 名称: 重庆卫视, 有效: 14, IPv4: 76, IPv6: 18, 最小延迟: 73 ms, 最高速率: 25.14 MiB/s, 平均速率: 13.93 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 28.0, 视频编解码器: h264, 音频编解码器: aac
分类: 卫视频道, 名称: 黑龙江卫视, 有效: 10, IPv4: 75, IPv6: 18, 最小延迟: 68 ms, 最高速率: 27.88 MiB/s, 平均速率: 20.99 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 27.67, 视频编解码器: h264, 音频编解码器: aac
分类: 卫视频道, 名称: 东南卫视, 有效: 16, IPv4: 71, IPv6: 17, 最小延迟: 52 ms, 最高速率: 26.02 MiB/s, 平均速率: 14.88 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 27.94, 视频编解码器: h264, 音频编解码器: aac
分类: 卫视频道, 名称: 吉林卫视, 有效: 12, IPv4: 252, IPv6: 66, 最小延迟: 64 ms, 最高速率: 27.12 MiB/s, 平均速率: 13.24 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 27.06, 视频编解码器: h264, 音频编解码器: aac
分类: 卫视频道, 名称: 陕西卫视, 有效: 12, IPv4: 63, IPv6: 14, 最小延迟: 50 ms, 最高速率: 27.36 MiB/s, 平均速率: 14.84 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 27.5, 视频编解码器: h264, 音频编解码器: aac
分类: 卫视频道, 名称: 云南卫视, 有效: 16, IPv4: 69, IPv6: 12, 最小延迟: 77 ms, 最高速率: 24.80 MiB/s, 平均速率: 13.26 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 28.12, 视频编解码器: h264, 音频编解码器: aac
分类: 卫视频道, 名称: 贵州卫视, 有效: 16, IPv4: 74, IPv6: 17, 最小延迟: 52 ms, 最高速率: 26.30 MiB/s, 平均速率: 15.91 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 28.12, 视频编解码器: h264, 音频编解码器: aac
